name,lat,lon
H_2139_1335,45.2139627,141.1335752
H_2148_1356,45.2148553,141.1356077
H_2150_1362,45.215014,141.1362997
H_2153_1377,45.2153768,141.137775
H_2162_1369,45.2162989,141.1369268
H_2176_1383,45.2176465,141.1383282
H_2183_1381,45.2183318,141.1381607
H_2414_1760,45.241472,141.1760937
H_2422_1746,45.242235,141.174656
H_2426_1759,45.2426844,141.1759649
H_2434_1764,45.2434053,141.1764709
H_2446_1774,45.2446706,141.1774097
H_2439_1772,45.2439473,141.1772333
H_2449_1787,45.2449797,141.1787923
H_2454_1779,45.2454745,141.1779728
H_2455_1786,45.2455802,141.1786554
H_2462_1785,45.2462307,141.17855
H_2468_1766,45.2468489,141.176613
H_2455_1813,45.2455728,141.1813367
H_2466_1826,45.2466719,141.1826188
H_2516_1829,45.2516839,141.1829666
H_2565_1893,45.2565726,141.1893602
H_2563_1893,45.2563989,141.1893575
H_2565_1899,45.2565726,141.1899583
H_2581_1934,45.2581336,141.1934075
H_2579_1933,45.2579048,141.1933233
H_2575_1930,45.2575895,141.1930146
H_2574_1919,45.2574384,141.1919687
H_2581_1945,45.258163,141.1945494
H_2579_1957,45.2579451,141.195735
H_2579_1966,45.2579463,141.1966851
H_2575_1968,45.257528,141.1968466
H_2479_2191,45.24793,141.2191086
H_2478_2195,45.2478847,141.2195726
H_2480_2198,45.2480376,141.2198462
H_2477_2203,45.2477271,141.2203331
H_2467_2209,45.2467619,141.2209986
H_2464_2216,45.2464662,141.2216058
H_2463_2219,45.2463148,141.2219816
H_2446_2262,45.2446982,141.2262474
H_2449_2267,45.244904,141.2267682
H_2451_2270,45.245108,141.2270471
H_2449_2271,45.2449474,141.2271061
H_2393_2280,45.2393215,141.2280094
H_2337_2369,45.2337791,141.2369709
H_2342_2390,45.2342601,141.2390011
H_2339_2382,45.2339095,141.2382436
H_2331_2380,45.2331577,141.2380102
H_2339_2388,45.2339941,141.238894
H_2344_2393,45.2344229,141.2393335
H_2343_2407,45.2343285,141.2407067
H_2340_2417,45.2340382,141.2417412
H_2337_2418,45.2337851,141.2418753
H_2339_2435,45.2339622,141.2435604
